"","AAPL","GE","TWTR","BAC","RAD","PFE"
"1980-06-11",NA,0.00248933143669983,NA,0,NA,-0.0117233294255569
"1980-06-12",NA,-0.00496630010642063,NA,-0.0172429233747357,NA,-0.0201660735468564
"1980-06-13",NA,-0.00499108734402853,NA,0.00876922429867233,NA,0
"1980-06-16",NA,0.00501612325331435,NA,0.0173929358136042,NA,0.0121065375302665
"1980-06-17",NA,0.0174688057040999,NA,0.00854438160806503,NA,-0.0346889952153111
"1980-06-18",NA,-0.00735809390329367,NA,-0.0423735126605852,NA,0
"1980-06-19",NA,-0.0148252735615955,NA,-0.0176937329391964,NA,-0.0123915737298638
"1980-06-20",NA,0.0075241848799712,NA,-0.00901341933997579,NA,-0.0112923462986199
"1980-06-23",NA,0.0074679943100997,NA,0.0181835352918955,NA,0
"1980-06-24",NA,0.00988351570773016,NA,0,NA,0
"1980-06-25",NA,0.0146801817546314,NA,0,NA,0.0114213197969544
"1980-06-26",NA,-0.0048225973131244,NA,0.0178587991866148,NA,-0.0112923462986199
"1980-06-27",NA,0.00484596746278987,NA,0.0263146826676386,NA,0.0114213197969544
"1980-06-30",NA,-0.0048225973131244,NA,0.00854438160806503,NA,0
"1980-07-01",NA,0.00969193492557974,NA,0,NA,0
"1980-07-02",NA,0.0239972574562908,NA,0.0423735126605853,NA,-0.0112923462986199
"1980-07-03",NA,0.0023434884499498,NA,0,NA,-0.0101522842639593
"1980-07-07",NA,-0.00233800935203743,NA,0.0162616943866944,NA,0
"1980-07-08",NA,0.00703046534984919,NA,0.0239990282758931,NA,-0.0115384615384615
"1980-07-09",NA,-0.00465425531914887,NA,-0.00781011006573984,NA,0.0220492866407263
"1980-07-10",NA,-0.0116900467601871,NA,-0.0157494683060041,NA,0
"1980-07-11",NA,0.0189253126056099,NA,0.0239990282758931,NA,0
"1980-07-14",NA,0.0210613598673302,NA,-0.00781011006573984,NA,0.0241116751269035
"1980-07-15",NA,-0.00682150397921066,NA,0.00787158803468291,NA,0
"1980-07-16",NA,0,NA,0.0156264632250571,NA,-0.023543990086741
"1980-07-17",NA,0.0114472608340148,NA,-0.00768994344725848,NA,0
"1980-07-18",NA,0.00452708164915117,NA,0.0232548055182156,NA,0.0114213197969544
"1980-07-21",NA,-0.00225333977144704,NA,-0.0303057820720048,NA,0.0125470514429109
"1980-07-22",NA,-0.0112921438941764,NA,-0.00781011006573984,NA,-0.023543990086741
"1980-07-23",NA,-0.00456844509707954,NA,-0.0157494683060041,NA,0
"1980-07-24",NA,-0.00934273069988523,NA,-0.0400005114337406,NA,-0.0101522842639593
"1980-07-25",NA,0.0023163467902052,NA,0.00833078060279968,NA,-0.0115384615384615
"1980-07-28",NA,0.00478705843512728,NA,0.0247990648341996,NA,0.0116731517509727
"1980-07-29",NA,0.0114999178577295,NA,0.0322545304565258,NA,0.0102564102564102
"1980-07-30",NA,0.0204645119376321,NA,0.0156264632250571,NA,0.0241116751269035
"1980-07-31",NA,0.00445646983924863,NA,-0.0461519547578066,NA,0.0235439900867411
"1980-08-01",NA,-0.00443669782918699,NA,0.0161240429974481,NA,0.0121065375302665
"1980-08-04",NA,0,NA,0.0238149599807196,NA,0.00837320574162681
"1980-08-05",NA,0.00445646983924863,NA,-0.00775573162195131,NA,-0.00830367734282322
"1980-08-06",NA,-0.0133100934875614,NA,-0.00781011006573984,NA,0
"1980-08-07",NA,0.00449654729404214,NA,0.0236210563406867,NA,-0.0119617224880383
"1980-08-08",NA,0.01119104716227,NA,-0.0230759773789032,NA,0
"1980-08-11",NA,0.015494071146245,NA,0.015749468306004,NA,0.0121065375302665
"1980-08-12",NA,0,NA,-0.0155052685700833,NA,-0.0346889952153111
"1980-08-13",NA,-0.00871866728942861,NA,-0.0314989366120082,NA,-0.0123915737298638
"1980-08-14",NA,0.0219883775718548,NA,0.0162616943866944,NA,0.0125470514429109
"1980-08-15",NA,-0.00645458736745042,NA,0.0160014831578477,NA,0
"1980-08-18",NA,-0.017324052590874,NA,-0.0236210563406869,NA,-0.023543990086741
"1980-08-19",NA,-0.0110184164961435,NA,-0.0161304874590777,NA,0
"1980-08-20",NA,0.00668470475887317,NA,0,NA,0
"1980-08-21",NA,0.0110671936758893,NA,-0.00820074802350179,NA,0.0482233502538072
"1980-08-22",NA,-0.00656763096168878,NA,0,NA,0
"1980-08-25",NA,-0.0110184164961435,NA,0,NA,-0.0108958837772397
"1980-08-26",NA,0,NA,0.00826855637081714,NA,0
"1980-08-27",NA,-0.0200541142766195,NA,0,NA,-0.0244798041615668
"1980-08-28",NA,-0.00682150397921066,NA,0,NA,0
"1980-08-29",NA,0,NA,-0.00820074802350179,NA,0
"1980-09-02",NA,0.0114472608340148,NA,0.00826855637081714,NA,0.0213299874529487
"1980-09-03",NA,0.00226354082457547,NA,0.016394945928774,NA,0.0356265356265355
"1980-09-04",NA,-0.00451685755767051,NA,0.00806202149872393,NA,0
"1980-09-05",NA,-0.0160427807486632,NA,-0.00799754511804529,NA,-0.0106761565836299
"1980-09-08",NA,-0.0322793148880105,NA,-0.0161304874590777,NA,-0.0119904076738609
"1980-09-09",NA,0.0142954390742001,NA,0.0081941979052722,NA,0.0121359223300972
"1980-09-10",NA,0.00704697986577196,NA,0.00813409563409562,NA,0
"1980-09-11",NA,0.00466511162945671,NA,0,NA,0
"1980-09-12",NA,-0.00232172470978442,NA,-0.00806846596035371,NA,0.0107913669064748
"1980-09-15",NA,0,NA,-0.0406509875259876,NA,0.0201660735468565
"1980-09-16",NA,0,NA,0,NA,0.0453488372093023
"1980-09-17",NA,0.033244680851064,NA,0.00847876583842933,NA,0.00889877641824266
"1980-09-18",NA,-0.00241312741312749,NA,0,NA,0.00992282249173093
"1980-09-19",NA,0,NA,-0.0252090118523989,NA,0.0218340611353711
"1980-09-22",NA,0.0230607966457024,NA,-0.00862490613870115,NA,0.0106837606837606
